Month,Main Category,Subcategory,Cost Amount
2015-01-01,Rooms Department,Front Office Labor,12374.41
2015-01-01,Rooms Department,Guest Amenities,2075.62
2015-01-01,Rooms Department,Cleaning Supplies,34959.88
2015-01-01,Housekeeping & Laundry,Housekeeping Labor,62288.53
2015-01-01,Housekeeping & Laundry,Laundry,11829.56
2015-01-01,Housekeeping & Laundry,Linen Replacement,344.48
2015-01-01,Utilities,Electricity,18815.45
2015-01-01,Utilities,Water,1308.19
2015-01-01,Utilities,Gas,52570.59
2015-01-01,Sales & Marketing,OTA Commissions,35880.91
2015-01-01,Sales & Marketing,Advertising,263.76
2015-01-01,Sales & Marketing,Promotions,36936.31
2015-01-01,Maintenance & Repairs,Preventive Maintenance,18207.06
2015-01-01,Maintenance & Repairs,Repairs,18179.39
2015-01-01,Maintenance & Repairs,Equipment Maintenance,22868.82
2015-01-01,Administrative & General,Management Salaries,9281.46
2015-01-01,Administrative & General,IT Costs,4498.64
2015-01-01,Administrative & General,Insurance,56116.71
2015-02-01,Rooms Department,Front Office Labor,13135.21
2015-02-01,Rooms Department,Guest Amenities,23376.95
2015-02-01,Rooms Department,Cleaning Supplies,13305.43
2015-02-01,Housekeeping & Laundry,Housekeeping Labor,12545.36
2015-02-01,Housekeeping & Laundry,Laundry,8940.16
2015-02-01,Housekeeping & Laundry,Linen Replacement,9987.74
2015-02-01,Utilities,Electricity,17410.03
2015-02-01,Utilities,Water,124.49
2015-02-01,Utilities,Gas,34402.89
2015-02-01,Sales & Marketing,OTA Commissions,26288.46
2015-02-01,Sales & Marketing,Advertising,13215.66
2015-02-01,Sales & Marketing,Promotions,11480.93
2015-02-01,Maintenance & Repairs,Preventive Maintenance,9434.8
2015-02-01,Maintenance & Repairs,Repairs,19869.69
2015-02-01,Maintenance & Repairs,Equipment Maintenance,4647.18
2015-02-01,Administrative & General,Management Salaries,10909.6
2015-02-01,Administrative & General,IT Costs,12143.38
2015-02-01,Administrative & General,Insurance,7419.13
2015-03-01,Rooms Department,Front Office Labor,3693.43
2015-03-01,Rooms Department,Guest Amenities,31653.87
2015-03-01,Rooms Department,Cleaning Supplies,19125.29
2015-03-01,Housekeeping & Laundry,Housekeeping Labor,4469.56
2015-03-01,Housekeeping & Laundry,Laundry,56593.1
2015-03-01,Housekeeping & Laundry,Linen Replacement,14119.75
2015-03-01,Utilities,Electricity,52734.95
2015-03-01,Utilities,Water,2832.96
2015-03-01,Utilities,Gas,17863.76
2015-03-01,Sales & Marketing,OTA Commissions,18886.11
2015-03-01,Sales & Marketing,Advertising,3672.69
2015-03-01,Sales & Marketing,Promotions,25044.54
2015-03-01,Maintenance & Repairs,Preventive Maintenance,24317.46
2015-03-01,Maintenance & Repairs,Repairs,24988.75
2015-03-01,Maintenance & Repairs,Equipment Maintenance,19261.93
2015-03-01,Administrative & General,Management Salaries,41441.43
2015-03-01,Administrative & General,IT Costs,1508.32
2015-03-01,Administrative & General,Insurance,9240.1
2015-04-01,Rooms Department,Front Office Labor,1455.58
2015-04-01,Rooms Department,Guest Amenities,25579.91
2015-04-01,Rooms Department,Cleaning Supplies,2183.7
2015-04-01,Housekeeping & Laundry,Housekeeping Labor,7179.8
2015-04-01,Housekeeping & Laundry,Laundry,18294.45
2015-04-01,Housekeeping & Laundry,Linen Replacement,16097.99
2015-04-01,Utilities,Electricity,1955.07
2015-04-01,Utilities,Water,23970.38
2015-04-01,Utilities,Gas,2283.26
2015-04-01,Sales & Marketing,OTA Commissions,10322.01
2015-04-01,Sales & Marketing,Advertising,6724.72
2015-04-01,Sales & Marketing,Promotions,15337.85
2015-04-01,Maintenance & Repairs,Preventive Maintenance,9928.57
2015-04-01,Maintenance & Repairs,Repairs,5287.53
2015-04-01,Maintenance & Repairs,Equipment Maintenance,13984.81
2015-04-01,Administrative & General,Management Salaries,25.46
2015-04-01,Administrative & General,IT Costs,25421.8
2015-04-01,Administrative & General,Insurance,2813.11
2015-05-01,Rooms Department,Front Office Labor,4653.27
2015-05-01,Rooms Department,Guest Amenities,3453.95
2015-05-01,Rooms Department,Cleaning Supplies,24148.4
2015-05-01,Housekeeping & Laundry,Housekeeping Labor,8124.11
2015-05-01,Housekeeping & Laundry,Laundry,3476.19
2015-05-01,Housekeeping & Laundry,Linen Replacement,13644.11
2015-05-01,Utilities,Electricity,9526.99
2015-05-01,Utilities,Water,6330.55
2015-05-01,Utilities,Gas,7540.13
2015-05-01,Sales & Marketing,OTA Commissions,7288.37
2015-05-01,Sales & Marketing,Advertising,14887.03
2015-05-01,Sales & Marketing,Promotions,7186.21
2015-05-01,Maintenance & Repairs,Preventive Maintenance,17967.38
2015-05-01,Maintenance & Repairs,Repairs,8064.35
2015-05-01,Maintenance & Repairs,Equipment Maintenance,3143.69
2015-05-01,Administrative & General,Management Salaries,398.87
2015-05-01,Administrative & General,IT Costs,10803.63
2015-05-01,Administrative & General,Insurance,7225.03
2015-06-01,Rooms Department,Front Office Labor,14936.1
2015-06-01,Rooms Department,Guest Amenities,9447.18
2015-06-01,Rooms Department,Cleaning Supplies,1660.79
2015-06-01,Housekeeping & Laundry,Housekeeping Labor,6201.07
2015-06-01,Housekeeping & Laundry,Laundry,13908.74
2015-06-01,Housekeeping & Laundry,Linen Replacement,3986.36
2015-06-01,Utilities,Electricity,9569.57
2015-06-01,Utilities,Water,4903.5
2015-06-01,Utilities,Gas,16363.07
2015-06-01,Sales & Marketing,OTA Commissions,6750.15
2015-06-01,Sales & Marketing,Advertising,1114.87
2015-06-01,Sales & Marketing,Promotions,21095.94
2015-06-01,Maintenance & Repairs,Preventive Maintenance,7732.27
2015-06-01,Maintenance & Repairs,Repairs,22658.56
2015-06-01,Maintenance & Repairs,Equipment Maintenance,679.64
2015-06-01,Administrative & General,Management Salaries,23523.12
2015-06-01,Administrative & General,IT Costs,12545.09
2015-06-01,Administrative & General,Insurance,4635.11
2015-07-01,Rooms Department,Front Office Labor,17180.25
